awbNo,Order No.,Client Name,Order Branch,Origin,Destination,Destination Latitude,Destination Longitude,Order Type,Order State,Delivery Type,Delivery Location Type,Order Date,Start Date,End Date,Notes,Payment Type,Order Value,Re-calculated Value,Amount Collected,Payment Subtype,Transaction Id,Cash Mismatch Reason,Opening Cash,Closing Cash,Status,Planned Service Time,Service Time,Delivery Associate,DB Employee ID,Assigned Through,Trip,Planned Checkout Time,Start Time (Actual),End Time (Actual),Planned Distance,Actual Distance Travelled,Actual Distance from Hub,Actual Tracked Distance,Start Time (Planned),End Time (Planned),Time Taken (Difference in Mins.),Check-in Time,Check-out Time,Check-in Latitude,Check-in Longitude,Check-out Latitude,Check-out Longitude,Order Sequence,Vendor/Customer code,Customer Name,POD count,No. of Crates,Weight (Kg),Volume (Cc),Customer comments,Reason,Ratings,No. of Attempts,Territory Enter Time,Territory Exit Time,Delayed,Delayed by (Mins),Scan Status,Parent Order No,Territory Name,Priority
Ord_5907755_test,=("ord_412277931232_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 05:11 AM","15, Jun 2019 06:01 AM","15, Jun 2019 06:31 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,5.777494430541992,,=(""),=(""),,=(""),=(""),,,,,,Cust_5774,User_5430,,10,,,,-,0.0,0,NA,NA,Y,892,-,-,Geofence Not Mapped,-
Ord_8887291_UPD,=("ord_144139552321_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,nullMumbai,400076",19.1092,72.8545,Delivery,Forward,,,"10, Jun 2019 05:04 AM","15, Jun 2019 06:44 AM","15, Jun 2019 07:44 AM",,Prepaid,65.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,8.554,,=(""),=(""),,=(""),=(""),,,,,,Cust_8634,User_1257,,10,,,,-,0.0,0,NA,NA,Y,819,-,-,Geofence Not Mapped,-
Ord_2286243_test,=("Ord_0489624_test"),Test Automation Client,Mumbai,Mumbai,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 05:04 AM","15, Jun 2019 05:54 AM","15, Jun 2019 06:24 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,User_8946689,8149750,Planning,TRIP-9740,"15, Jun 2019 06:09 AM",=(""),=(""),20.712,,18.998411178588867,,"15, Jun 2019 05:13 AM","15, Jun 2019 06:09 AM",,=(""),=(""),,,,,1,Cust_0912,User_7147,,10,,,,-,0.0,0,NA,NA,Y,900,-,-,Geofence Not Mapped,-
Ord_9349703_test,=("Ord_5663489_test"),Test Automation Client,Mumbai,Mumbai,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 05:03 AM","15, Jun 2019 05:53 AM","15, Jun 2019 06:23 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,User_9797357,6050647,Planning,TRIP-9738,"15, Jun 2019 06:08 AM",=(""),=(""),20.712,,18.998411178588867,,"15, Jun 2019 05:12 AM","15, Jun 2019 06:08 AM",,=(""),=(""),,,,,1,Cust_9008,User_8685,,10,,,,-,0.0,0,NA,NA,Y,901,-,-,Geofence Not Mapped,-
Ord_8414030_test,=("ord_039398358098_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1122,72.9099,Delivery,Forward,,,"10, Jun 2019 05:03 AM","15, Jun 2019 05:53 AM","15, Jun 2019 06:23 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,0.676,,=(""),=(""),,=(""),=(""),,,,,,Cust_6301,User_4679,,10,,,,-,0.0,0,NA,NA,Y,901,-,-,Geofence Not Mapped,-
Ord_1295540_test,=("Ord_3185762_test"),Test Automation Client,Mumbai,Mumbai,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 05:02 AM","15, Jun 2019 05:52 AM","15, Jun 2019 06:22 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,User_2747992,1165651,Planning,TRIP-9736,"15, Jun 2019 06:07 AM",=(""),=(""),20.712,,18.998411178588867,,"15, Jun 2019 05:11 AM","15, Jun 2019 06:07 AM",,=(""),=(""),,,,,1,Cust_8156,User_6514,,10,,,,-,0.0,0,NA,NA,Y,901,-,-,Geofence Not Mapped,-
Ord_6571221_test,=("ord_971022456860_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1122,72.9099,Delivery,Forward,,,"10, Jun 2019 04:59 AM","15, Jun 2019 05:49 AM","15, Jun 2019 06:19 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,0.676,,=(""),=(""),,=(""),=(""),,,,,,Cust_4849,User_1506,,10,,,,-,0.0,0,NA,NA,Y,905,-,-,Geofence Not Mapped,-
Ord_5431272_test,=("Ord_1007568_test"),Test Automation Client,Kolkata,Kolkata,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Kolkata,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 04:56 AM","15, Jun 2019 05:46 AM","15, Jun 2019 06:16 AM",,Prepaid,0.0000,500.0000,0.0000,-,,-,0.0000,0.0000,Delivered,15,1,User_3670889,1295719,Planning,TRIP-9734,"16, Jun 2019 05:00 PM","14, Jun 2019 11:28 PM","14, Jun 2019 11:33 PM",2046.28,,1656.144287109375,,"14, Jun 2019 11:28 PM","16, Jun 2019 05:00 PM",5,"14, Jun 2019 11:32 PM","14, Jun 2019 11:33 PM",19.13393,72.91116,19.1117942,72.9094869,1,Cust_2540,User_0017,0,1,,,,-,0.0,1,NA,NA,N,-,-,-,Geofence Not Mapped,-
Ord_6487552_test,=("ord_930459807525_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1122,72.9099,Delivery,Forward,,,"10, Jun 2019 04:54 AM","15, Jun 2019 05:44 AM","15, Jun 2019 06:14 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,0.676,,=(""),=(""),,=(""),=(""),,,,,,Cust_4398,User_2383,,10,,,,-,0.0,0,NA,NA,Y,910,-,-,Geofence Not Mapped,-
Ord_4927711_File,=("OrdWallets_1375349_File"),Account_Test,Mumbai,Mumbai,"A901 Supreme Business Park,South Avenue,Powai,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,Delivery Boy,,"14, Jun 2019 11:08 PM","15, Jun 2019 12:13 AM","15, Jun 2019 12:43 AM",,COD,2000.0000,2000.0000,2000.0000,-,-,-,,,Delivered,10,-,,-,-,,=(""),"14, Jun 2019 11:27 PM","14, Jun 2019 11:27 PM",0.0,,18.998411178588867,,=(""),=(""),0,=(""),"14, Jun 2019 11:27 PM",,,,,,Cust_1130,User_2002,,6,4.0,500.0,,-,0.0,1,NA,NA,N,-,-,-,Geofence Not Mapped,-
Ord_3818528_test,=("ord_579974127917_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 04:50 AM","15, Jun 2019 05:40 AM","15, Jun 2019 06:10 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,User_705122346,E_72258451,Manually,TRIP-9730,"17, Jun 2019 05:35 AM",=(""),=(""),8.56,,5.777494430541992,,"17, Jun 2019 04:53 AM","17, Jun 2019 05:35 AM",,=(""),=(""),,,,,1,Cust_0744,User_0500,,10,,,,-,0.0,0,NA,NA,Y,914,-,-,Geofence Not Mapped,-
2960588,=("C2960588"),Test Automation Client,Mumbai,Mumbai,"supreme business park,hiranandani,powai,Mumbai,SINGAPORE,400076",19.1245,72.8937,Delivery,Forward,,,"02, Jun 2017 11:30 AM","14, Jun 2019 11:18 PM","14, Jun 2019 11:18 PM",,Prepaid,0.0000,0.0000,0.0000,-,-,-,,0.0000,Delivered,12,-,Auto2960588,2960588,Planning,TRIP-9731,"14, Jun 2019 11:30 PM","14, Jun 2019 11:19 PM","14, Jun 2019 11:19 PM",23.851,,16.876605987548828,,"14, Jun 2019 10:29 PM","14, Jun 2019 11:30 PM",0,=(""),"14, Jun 2019 11:19 PM",,,,,1,2960588,2960588,,1,,,,-,0.0,1,NA,NA,Y,0,-,-,Geofence Not Mapped,-
Awb_2303796,=("ord_256603775248_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Powai,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1115,72.9093,Delivery,Forward,,,"14, Jun 2019 10:52 PM","14, Jun 2019 11:57 PM","15, Jun 2019 12:27 AM",,COD,200.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,0.42653268575668335,,=(""),=(""),,=(""),=(""),,,,,,Cust_9436,User_7272,,2,10.0,10.1,,-,0.0,0,NA,NA,Y,1257,-,-,Geofence Not Mapped,-
Ord_1702900_test,=("ord_368185315489_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 04:26 AM","15, Jun 2019 05:16 AM","15, Jun 2019 05:46 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,5.777494430541992,,=(""),=(""),,=(""),=(""),,,,,,Cust_4565,User_7247,,10,,,,-,0.0,0,NA,NA,Y,938,OUTSCANNED,-,Geofence Not Mapped,-
Ord_3925158_test,=("ord_543849156800_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 04:20 AM","15, Jun 2019 05:10 AM","15, Jun 2019 05:40 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,5.777494430541992,,=(""),=(""),,=(""),=(""),,,,,,Cust_0045,User_5782,,10,,,,-,0.0,0,NA,NA,Y,944,-,-,Geofence Not Mapped,-
Ord_1491942_test,=("ord_345428466678_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 04:19 AM","15, Jun 2019 05:09 AM","15, Jun 2019 05:39 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,5.777494430541992,,=(""),=(""),,=(""),=(""),,,,,,Cust_9773,User_9530,,10,,,,-,0.0,0,NA,NA,Y,944,-,-,Geofence Not Mapped,-
Ord_3298077_File,=("Ord_3621378_File"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Powai,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,Delivery Boy,,"14, Jun 2019 10:31 PM","14, Jun 2019 11:36 PM","15, Jun 2019 12:06 AM",,COD,2000.0000,-,0.0000,-,-,-,,,Not Dispatched,10,-,,-,-,,=(""),=(""),=(""),0.0,,5.777494430541992,,=(""),=(""),,=(""),=(""),,,,,,Cust_3054,User_4073,,6,4.0,500.0,,-,0.0,0,NA,NA,Y,1277,-,-,Geofence Not Mapped,-
Ord_9296521_test,=("ord_317775476889_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 04:13 AM","15, Jun 2019 05:03 AM","15, Jun 2019 05:33 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,5.777494430541992,,=(""),=(""),,=(""),=(""),,,,,,Cust_4932,User_7441,,10,,,,-,0.0,0,NA,NA,Y,951,-,-,Geofence Not Mapped,-
Awb_2874566,=("ord_764247406674_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Powai,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1115,72.9093,Delivery,Forward,,,"14, Jun 2019 10:19 PM","14, Jun 2019 10:24 PM","14, Jun 2019 10:54 PM",,COD,200.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,0.739,,=(""),=(""),,=(""),=(""),,,,,,Cust_0610,User_4656,,2,10.0,10.1,,-,0.0,0,NA,NA,Y,1350,-,-,Geofence Not Mapped,-
Awb_2250313,=("ord_703570898582_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Powai,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1115,72.9093,Delivery,Forward,,,"14, Jun 2019 10:16 PM","14, Jun 2019 11:21 PM","14, Jun 2019 11:51 PM",,COD,200.0000,-,0.0000,-,-,-,,,CANCELLED,15,-,,-,-,,=(""),"14, Jun 2019 10:40 PM","14, Jun 2019 10:40 PM",0.0,,0.42653268575668335,,=(""),=(""),0,=(""),"14, Jun 2019 10:40 PM",,,,,,Cust_2006,User_1193,,2,10.0,10.1,,Delivery Boy not available,0.0,0,NA,NA,N,-,-,-,Geofence Not Mapped,-
Ord_0939088_test,=("ord_524088378853_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 04:06 AM","15, Jun 2019 04:56 AM","15, Jun 2019 05:26 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,5.777494430541992,,=(""),=(""),,=(""),=(""),,,,,,Cust_3835,User_9160,,10,,,,-,0.0,0,NA,NA,Y,958,-,-,Geofence Not Mapped,-
Awb_8146693,=("ord_496544180817_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Powai,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1115,72.9093,Delivery,Forward,,,"14, Jun 2019 10:14 PM","14, Jun 2019 11:19 PM","14, Jun 2019 11:49 PM",,COD,200.0000,-,0.0000,-,-,-,,,Attempted Delivery,15,-,,-,-,,=(""),"14, Jun 2019 10:37 PM","14, Jun 2019 10:37 PM",0.0,,0.42653268575668335,,=(""),=(""),0,=(""),"14, Jun 2019 10:37 PM",,,0.0,0.0,,Cust_8165,User_8901,,2,10.0,10.1,,No customer at delivery location,0.0,1,NA,NA,N,-,-,-,Geofence Not Mapped,-
Awb_1674997,=("ord_126265875101_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Powai,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1115,72.9093,Delivery,Forward,,,"14, Jun 2019 10:13 PM","14, Jun 2019 11:18 PM","14, Jun 2019 11:48 PM",,COD,200.0000,200.0000,200.0000,-,-,-,,,Delivered,15,-,,-,-,,=(""),"14, Jun 2019 10:36 PM","14, Jun 2019 10:36 PM",0.0,,0.42653268575668335,,=(""),=(""),0,=(""),"14, Jun 2019 10:36 PM",,,,,,Cust_8535,User_6644,,2,10.0,10.1,,-,0.0,1,NA,NA,N,-,-,-,Geofence Not Mapped,-
